zip,donations,total,population,rate_per_1000
21132,1935,26892.71999999997,NA,NA
21133,853,11557.72999999996,NA,NA
21136,5753,117010.2300000019,NA,NA
21139,72,2126.1,NA,NA
21140,372,14685.769999999997,NA,NA
21144,4088,93118.1200000007,NA,NA
21146,4267,170297.64000000138,NA,NA
21150,2,260,NA,NA
21152,506,25937.42999999998,NA,NA
21153,84,9404.070000000003,NA,NA
21154,1432,32637.779999999988,NA,NA
21155,225,8949.849999999999,NA,NA
21156,38,1853.68,NA,NA
21157,4538,133764.6600000017,NA,NA
21158,2036,62736.160000000025,NA,NA
21160,432,7897.949999999998,NA,NA
21161,855,25529.959999999937,NA,NA
21162,327,8861.850000000008,NA,NA
21163,2253,31190.8699999999,NA,NA
21164,1,100,NA,NA
21201,1094,21142.500000000044,NA,NA
21202,492,22378.09999999997,NA,NA
21203,13,4779.48,NA,NA
21204,8428,189115.3200000032,NA,NA
21205,80,3283.32,NA,NA
21206,814,20841.259999999973,NA,NA
21207,511,14736.519999999984,NA,NA
21208,3218,69404.8800000002,NA,NA
21209,1197,39362.56999999995,NA,NA
21210,586,22138.40999999998,NA,NA
21211,373,14625.330000000002,NA,NA
21212,1784,57711.109999999935,NA,NA
21213,222,5964.939999999996,NA,NA
21214,930,10893.830000000007,NA,NA
21215,1294,21237.41,NA,NA
21216,38,780.86,NA,NA
21217,524,7613.850000000001,NA,NA
21218,1068,22943.169999999973,NA,NA
21219,1407,24274.23999999998,NA,NA
21220,6821,123716.15000000082,NA,NA
21221,3435,71861.3400000003,NA,NA
21222,3186,58565.28999999999,NA,NA
21223,189,5440.709999999999,NA,NA
21224,4252,97096.64000000036,NA,NA
21225,1693,20727.42999999996,NA,NA
21226,355,6695.000000000005,NA,NA
21227,1904,36017.46000000001,NA,NA
21228,8380,190287.5699999994,NA,NA
21229,1451,43146.99999999996,NA,NA
21230,3292,42890.42000000036,NA,NA
21231,156,11765.870000000004,NA,NA
21234,4150,80660.86000000071,NA,NA
21236,5367,102116.84000000118,NA,NA
21237,1956,57059.060000000005,NA,NA
21239,410,10179.439999999997,NA,NA
21240,1,26.03,NA,NA
21241,2,75,NA,NA
21244,549,13203.5,NA,NA
21247,7,167.08,NA,NA
21250,2,105.21,NA,NA
21251,50,1973.96,NA,NA
21252,4,100,NA,NA
21263,6,84.28,NA,NA
21279,5,73,NA,NA
21284,4,313.29999999999995,NA,NA
21286,3403,97379.96999999994,NA,NA
21287,1,1,NA,NA
21401,8690,458704.3599999957,NA,NA
21402,64,1129.13,NA,NA
21403,3952,180484.76000000132,NA,NA
21404,14,3117.25,NA,NA
21405,107,3649.420000000001,NA,NA
21409,4980,188649.09000000064,NA,NA
21412,6,172.66000000000005,NA,NA
21501,5,30,NA,NA
21502,4775,103737.06000000116,NA,NA
21505,2,42.14,NA,NA
21520,98,3721.250000000001,NA,NA
21521,33,1075.8800000000003,NA,NA
21522,1,47,NA,NA
21523,7,86.89,NA,NA
21524,20,457.2,NA,NA
21529,57,1045.86,NA,NA
21530,89,1889.75,NA,NA
21531,246,7033.79,NA,NA
21532,2300,30815.46000000011,NA,NA
21536,814,7843.590000000014,NA,NA
21538,29,862.24,NA,NA
21539,32,1421.7499999999998,NA,NA
21540,1,21.07,NA,NA
21541,216,9666.629999999996,NA,NA
21543,280,4508.579999999999,NA,NA
21545,64,1568.5600000000002,NA,NA
21550,1221,35610.61999999992,NA,NA
21552,1,1,NA,NA
21555,98,2438.6499999999987,NA,NA
21556,2,53.05,NA,NA
21557,69,1298.9399999999994,NA,NA
21560,40,438.4,NA,NA
21561,323,20203.78999999999,NA,NA
21562,73,1325.5500000000004,NA,NA
21601,3519,198588.0400000003,NA,NA
21607,10,253.65,NA,NA
21610,22,612.65,NA,NA
21612,40,2340.93,NA,NA
21613,1016,25820.179999999946,NA,NA
21617,1393,44502.849999999904,NA,NA
21619,1752,53307.83999999997,NA,NA
21620,3547,57317.93000000011,NA,NA
21622,47,1015.8599999999996,NA,NA
21623,160,11603.930000000004,NA,NA
21624,2,200,NA,NA
21625,181,6536.09,NA,NA
21628,76,1665.3,NA,NA
21629,702,26028.75999999993,NA,NA
21631,106,2140.96,NA,NA
21632,385,8560.209999999992,NA,NA
21634,12,660.53,NA,NA
21635,909,25782.62999999997,NA,NA
21636,140,3741.630000000001,NA,NA
21638,688,24723.95999999996,NA,NA
21639,299,4298.609999999999,NA,NA
21640,21,870.59,NA,NA
21643,129,3421.1600000000003,NA,NA
21644,21,1489.06,NA,NA
21645,799,16686.719999999976,NA,NA
21647,2,1046.02,NA,NA
21648,6,292.18000000000006,NA,NA
21649,11,251.31,NA,NA
21650,36,743.2800000000001,NA,NA
21651,114,4187.79,NA,NA
21652,6,186.33,NA,NA
21653,5,115.48,NA,NA
21654,475,35940.680000000015,NA,NA
21655,911,15795.929999999988,NA,NA
21657,81,4380.89,NA,NA
21658,1085,46045.019999999975,NA,NA
21659,3060,58483.720000000016,NA,NA
21660,318,8391.409999999993,NA,NA
21661,1483,30077.569999999967,NA,NA
21662,168,15801.980000000009,NA,NA
21663,1221,42010.00999999994,NA,NA
21664,12,606.3299999999999,NA,NA
21665,55,6186.34,NA,NA
21666,2612,85565.16000000027,NA,NA
21667,5,207,NA,NA
21668,399,6508.429999999995,NA,NA
21669,15,1276.6999999999998,NA,NA
21671,57,2785.99,NA,NA
21672,2,46.05,NA,NA
21673,188,8611.570000000002,NA,NA
21675,1,25,NA,NA
21676,21,710.0500000000001,NA,NA
21677,128,1134.9900000000007,NA,NA
21678,43,1922.59,NA,NA
21679,81,2694.71,NA,NA
21701,6057,114826.3500000018,NA,NA
21702,5174,126991.27000000182,NA,NA
21703,2098,67041.95000000004,NA,NA
21704,1240,58343.60999999997,NA,NA
21705,33,1493.22,NA,NA
21710,301,13761.380000000008,NA,NA
21711,27,898.0700000000002,NA,NA
21713,1288,40229.73999999996,NA,NA
21714,12,290.82000000000005,NA,NA
21715,22,502.48,NA,NA
21716,540,16379.819999999992,NA,NA
21717,54,1939.79,NA,NA
21718,6,494.52,NA,NA
21719,58,2473.47,NA,NA
21720,6,386.2199999999999,NA,NA
21721,45,432.32,NA,NA
21722,317,9866.599999999997,NA,NA
21723,215,3686.479999999998,NA,NA
21727,756,28446.509999999995,NA,NA
21733,22,980.28,NA,NA
21734,64,1267.72,NA,NA
21737,149,9376.609999999995,NA,NA
21738,1641,31309.770000000022,NA,NA
21740,41865,136944.65000000247,NA,NA
21741,22,466.39,NA,NA
21742,5487,163741.37000000075,NA,NA
21746,9,552.02,NA,NA
21750,165,5061.7199999999975,NA,NA
21754,1220,39970.79999999996,NA,NA
21755,504,21364.609999999982,NA,NA
21756,336,22238.630000000005,NA,NA
21757,196,10792.840000000004,NA,NA
21758,1294,30557.54999999992,NA,NA
21762,53,2202.48,NA,NA
21765,6,551.1,NA,NA
21766,177,1711.669999999999,NA,NA
21767,271,2927.9700000000003,NA,NA
21769,1570,39481.69999999997,NA,NA
21770,723,20556.36,NA,NA
21771,6746,150894.49000000267,NA,NA
21773,402,13039.27,NA,NA
21774,2844,60800.73000000003,NA,NA
21776,1147,15895.469999999972,NA,NA
21777,105,5306.590000000001,NA,NA
21778,138,3602.839999999998,NA,NA
21779,121,6273.829999999999,NA,NA
21780,106,3914.229999999999,NA,NA
21782,271,8791.65,NA,NA
21783,718,14984.93999999998,NA,NA
21784,6982,355008.319999996,NA,NA
21787,1154,26892.229999999985,NA,NA
21788,986,20376.15,NA,NA
21791,1011,16003.319999999983,NA,NA
21793,1537,46443.080000000016,NA,NA
21794,384,21564.38999999999,NA,NA
21795,917,23988.369999999974,NA,NA
21797,2300,90915.01000000056,NA,NA
21798,453,9415.339999999993,NA,NA
21801,2279,50766.34,NA,NA
21802,43,2320.959999999999,NA,NA
21804,4477,63720.600000000406,NA,NA
21810,75,2913.13,NA,NA
21811,3477,115303.71000000108,NA,NA
21813,503,11720.36,NA,NA
21814,5,267.12,NA,NA
21817,551,19574.94999999999,NA,NA
21821,73,5392.68,NA,NA
21822,182,10207.600000000002,NA,NA
21824,8,294.93,NA,NA
21826,1033,11213.05,NA,NA
21829,6,113.99,NA,NA
21830,231,9891.73,NA,NA
21835,19,622.25,NA,NA
21837,85,2525.719999999999,NA,NA
21838,168,2872.48,NA,NA
21840,8,342.2,NA,NA
21841,80,2151.88,NA,NA
21842,6872,94323.41000000104,NA,NA
21843,164,18116.730000000003,NA,NA
21849,320,9043.979999999998,NA,NA
21850,98,1950.46,NA,NA
21851,1760,13319.82000000002,NA,NA
21852,2,2,NA,NA
21853,189,7985.15,NA,NA
21856,116,1575.8899999999996,NA,NA
21861,30,750.4300000000003,NA,NA
21862,7,266.86,NA,NA
21863,502,14885.14,NA,NA
21864,62,422.49,NA,NA
21865,553,5861.259999999992,NA,NA
21869,162,3811.920000000001,NA,NA
21871,6748,28618.619999999828,NA,NA
21872,67,1340.1700000000003,NA,NA
21874,289,5033.470000000003,NA,NA
21875,571,7865.319999999991,NA,NA
21901,1807,37834.40000000001,NA,NA
21903,722,9080.169999999973,NA,NA
21904,429,10706.209999999994,NA,NA
21911,2860,39679.05000000002,NA,NA
21912,116,4251.120000000001,NA,NA
21913,40,1308.4999999999995,NA,NA
21914,28,1399.7300000000002,NA,NA
21915,262,10522.589999999998,NA,NA
21917,138,3712.39,NA,NA
21918,682,13136.439999999982,NA,NA
21919,193,7736.5999999999985,NA,NA
21920,8,227.88,NA,NA
21921,6986,117748.40000000056,NA,NA
21922,22,455.97,NA,NA
21930,1,312.3,NA,NA
22093,2,90,NA,NA
22312,25,2183.76,NA,NA
22905,1,47,NA,NA
26876,1,1,NA,NA
27549,1,30,NA,NA
28852,16,268,NA,NA
28878,8,146.55,NA,NA
30328,10,88.02,NA,NA
33371,1,1,NA,NA
35791,1,1,NA,NA
35827,1,1,NA,NA
36339,1,1,NA,NA
36362,6,120,NA,NA
37535,1,1,NA,NA
40752,1,1,NA,NA
41880,1,1,NA,NA
42941,1,1,NA,NA
44593,1,1,NA,NA
46432,1,1,NA,NA
55094,1,1,NA,NA
57404,1,1,NA,NA
57876,1,1,NA,NA
59573,1,1,NA,NA
63584,1,1,NA,NA
68775,1,1,NA,NA
70109,1,1,NA,NA
70287,1,1,NA,NA
70960,1,1,NA,NA
71990,1,1,NA,NA
72605,1,1,NA,NA
75177,1,1,NA,NA
75690,1,1,NA,NA
76381,1,1,NA,NA
79023,1,1,NA,NA
79644,1,1,NA,NA
81779,1,1,NA,NA
83486,1,1,NA,NA
86119,1,1,NA,NA
87963,1,1,NA,NA
88952,1,1,NA,NA
89707,1,1,NA,NA
92348,1,1,NA,NA
97645,1,1,NA,NA
98598,1,1,NA,NA
98677,1,1,NA,NA
